Model,scenario,obj_value,number_of_EVs,Demand,AvailabeType_4,InstalledType_4,AvailabeType_8,InstalledType_8,AvailabeType_19,InstalledType_19,Time
FCFS,1170,8400.0,35,538.0,2,1,4,2,3,2,97.59219431877136
FCFS,1171,13100.0,35,613.0,2,2,4,3,4,3,5.545515060424805
FCFS,1172,10900.0,35,656.0,2,2,4,3,4,2,12.684585571289062
FCFS,1173,9900.0,35,635.0,2,1,4,3,4,2,35.76937294006348
FCFS,1174,8400.0,35,584.0,2,1,4,2,4,2,60.18274641036987
FCFS,1175,12100.0,35,598.0,2,1,4,3,4,3,7.3316969871521
FCFS,1176,9100.0,35,642.0,2,1,4,1,4,3,30.620991945266724
FCFS,1177,10400.0,35,638.0,2,0,4,4,4,2,17.338520526885986
FCFS,1178,9900.0,35,719.0,3,1,5,3,4,2,26.827614545822144
FCFS,1179,9900.0,35,582.0,2,1,4,3,4,2,19.476083278656006
FCFS,1180,10400.0,35,614.0,2,0,4,4,4,2,66.9445276260376
FCFS,1181,9200.0,35,629.0,2,1,4,4,4,1,100.82023787498474
FCFS,1182,9100.0,35,675.0,3,1,5,1,4,3,99.027414560318
FCFS,1183,11100.0,35,658.0,2,0,4,3,4,3,8.986162424087524
FCFS,1184,9900.0,35,610.0,2,1,4,3,4,2,12.884795904159546
FCFS,1185,8700.0,35,525.0,2,2,4,3,3,1,11.185663938522339
FCFS,1186,8700.0,35,512.0,2,2,4,3,3,1,41.30976414680481
FCFS,1187,10400.0,35,623.0,2,0,4,4,4,2,20.10421919822693
FCFS,1188,9200.0,35,608.0,2,1,4,4,4,1,63.37278437614441
FCFS,1189,9400.0,35,581.0,2,2,4,2,4,2,20.209341049194336
FCFS,1190,10100.0,35,735.0,3,2,5,1,4,3,48.35408067703247
FCFS,1191,10900.0,35,628.0,2,2,4,3,4,2,22.81680989265442
FCFS,1192,11400.0,35,674.0,3,1,5,4,4,2,24.169652223587036
FCFS,1193,9900.0,35,593.0,2,1,4,3,4,2,20.566500663757324
FCFS,1194,9900.0,35,629.0,2,1,4,3,4,2,16.439632892608643
FCFS,1195,10400.0,35,676.0,3,3,5,2,4,2,14.725970029830933
FCFS,1196,10900.0,35,594.0,2,2,4,3,4,2,12.9080650806427
FCFS,1197,9400.0,35,585.0,2,2,4,2,4,2,56.18071007728577
FCFS,1198,10900.0,35,702.0,3,2,5,3,4,2,48.59882378578186
FCFS,1199,10100.0,35,621.0,2,2,4,1,4,3,13.520118236541748
FCFS,1200,13100.0,35,705.0,3,2,5,3,4,3,12.39439868927002
FCFS,1201,12400.0,40,748.0,3,2,5,4,4,2,31.784727811813354
FCFS,1202,12600.0,40,714.0,3,3,5,2,4,3,27.51476287841797
FCFS,1203,11800.0,40,716.0,3,0,5,2,4,4,43.68801307678223
FCFS,1204,11900.0,40,730.0,3,3,5,3,4,2,50.20659899711609
FCFS,1205,12100.0,40,753.0,3,1,5,3,4,3,42.726481199264526
FCFS,1206,13100.0,40,824.0,3,2,5,3,4,3,18.033238410949707
FCFS,1207,11100.0,40,671.0,2,0,4,3,4,3,55.60368299484253
FCFS,1208,11100.0,40,716.0,3,0,5,3,4,3,59.186941623687744
FCFS,1209,12900.0,40,775.0,3,1,5,5,4,2,32.3798930644989
FCFS,1210,13600.0,40,804.0,3,1,5,4,4,3,10.970511436462402
FCFS,1211,11400.0,40,752.0,3,1,5,4,4,2,41.9626247882843
FCFS,1212,13600.0,40,818.0,3,1,5,4,4,3,12.395566940307617
FCFS,1213,12100.0,40,707.0,3,1,5,3,4,3,93.12722516059875
FCFS,1214,13099.999972527641,40,665.0,2,2,4,2,4,2,16.22503089904785
FCFS,1215,10600.0,40,619.0,2,1,4,2,4,3,19.71709895133972
FCFS,1216,10900.0,40,755.0,3,2,5,3,4,2,29.721601009368896
FCFS,1217,11400.0,40,728.0,3,1,5,4,4,2,19.181895971298218
FCFS,1218,10900.0,40,842.0,3,2,5,3,4,2,44.88831663131714
FCFS,1219,12100.0,40,651.0,2,1,4,3,4,3,15.336884260177612
FCFS,1220,10900.0,40,705.0,3,2,5,3,4,2,42.120598793029785
FCFS,1221,12100.0,40,661.0,2,1,4,3,4,3,11.85641860961914
FCFS,1222,12100.0,40,760.0,3,1,5,3,4,3,14.43799901008606
FCFS,1223,12400.0,40,677.0,3,2,5,4,4,2,28.463442087173462
FCFS,1224,10600.0,40,756.0,3,1,5,2,4,3,126.93657541275024
FCFS,1225,10400.0,40,655.0,2,0,4,4,4,2,99.99206399917603
FCFS,1226,11400.0,40,759.0,3,1,5,4,4,2,36.213128328323364
